Date: 2025-07-14, Time: 23:36:07, Event Source: notifications-service, Event Type: ERROR, Event ID: 5a675d75-0259-4321-a7e6-03f7812c117c, Message: Failed to create Cassandra session: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/repositories/notification-repository.go:28 in notifications-service/repositories.NewNotificationRepo
Date: 2025-07-14, Time: 23:36:07, Event Source: notifications-service, Event Type: FATAL, Event ID: 8765ba04-04ff-4da8-af43-729d3a8d8e82, Message: Failed to initialize repository: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/main.go:35 in main.main
Date: 2025-07-14, Time: 23:36:08, Event Source: notifications-service, Event Type: ERROR, Event ID: bc533101-9e32-4e32-a3ff-5d8d0d22b1fe, Message: Failed to create Cassandra session: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/repositories/notification-repository.go:28 in notifications-service/repositories.NewNotificationRepo
Date: 2025-07-14, Time: 23:36:09, Event Source: notifications-service, Event Type: FATAL, Event ID: e1ebdbd1-c899-4ac7-920b-d4d96ce55432, Message: Failed to initialize repository: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/main.go:35 in main.main
Date: 2025-07-14, Time: 23:36:10, Event Source: notifications-service, Event Type: ERROR, Event ID: badd395b-c3d9-400e-8430-ebf4e79ea965, Message: Failed to create Cassandra session: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/repositories/notification-repository.go:28 in notifications-service/repositories.NewNotificationRepo
Date: 2025-07-14, Time: 23:36:10, Event Source: notifications-service, Event Type: FATAL, Event ID: 49f9c3bc-0f8d-4a93-9485-1e8fcc086008, Message: Failed to initialize repository: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/main.go:35 in main.main
Date: 2025-07-14, Time: 23:36:11, Event Source: notifications-service, Event Type: ERROR, Event ID: 84fbefeb-52c7-4fff-8d47-36881ed62f79, Message: Failed to create Cassandra session: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/repositories/notification-repository.go:28 in notifications-service/repositories.NewNotificationRepo
Date: 2025-07-14, Time: 23:36:11, Event Source: notifications-service, Event Type: FATAL, Event ID: ded1a5e3-b7e6-4fde-aba0-1567a9c82d7e, Message: Failed to initialize repository: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/main.go:35 in main.main
Date: 2025-07-14, Time: 23:36:12, Event Source: notifications-service, Event Type: ERROR, Event ID: df3c5d77-bdfd-48ee-a797-0515cdf12ae2, Message: Failed to create Cassandra session: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/repositories/notification-repository.go:28 in notifications-service/repositories.NewNotificationRepo
Date: 2025-07-14, Time: 23:36:12, Event Source: notifications-service, Event Type: FATAL, Event ID: ee715523-0632-4acf-8a9f-47f2e35bf585, Message: Failed to initialize repository: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/main.go:35 in main.main
Date: 2025-07-14, Time: 23:36:14, Event Source: notifications-service, Event Type: ERROR, Event ID: e65cd6cf-def4-4225-8dfd-bb65ccb9b70c, Message: Failed to create Cassandra session: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/repositories/notification-repository.go:28 in notifications-service/repositories.NewNotificationRepo
Date: 2025-07-14, Time: 23:36:14, Event Source: notifications-service, Event Type: FATAL, Event ID: cbc5a173-ca8f-4afe-ab0f-a20f01a3e5b4, Message: Failed to initialize repository: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/main.go:35 in main.main
Date: 2025-07-14, Time: 23:36:18, Event Source: notifications-service, Event Type: ERROR, Event ID: 416bb037-1597-4156-abd4-19024d77d354, Message: Failed to create Cassandra session: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/repositories/notification-repository.go:28 in notifications-service/repositories.NewNotificationRepo
Date: 2025-07-14, Time: 23:36:18, Event Source: notifications-service, Event Type: FATAL, Event ID: 104da9cf-40e1-452c-9561-1753c359071c, Message: Failed to initialize repository: gocql: unable to create session: unable to discover protocol version: dial tcp 172.19.0.5:9042: connect: connection refused,  Location: /app/main.go:35 in main.main
Date: 2025-07-14, Time: 23:36:25, Event Source: notifications-service, Event Type: INFO, Event ID: dc1d9c87-3e35-46c6-a22a-dadcd0bf40e0, Message: Connected to Cassandra notifications keyspace.,  Location: /app/repositories/notification-repository.go:54 in notifications-service/repositories.NewNotificationRepo
Date: 2025-07-14, Time: 23:36:25, Event Source: notifications-service, Event Type: INFO, Event ID: 644d8a1f-adc8-4de1-8f11-fc10c5210871, Message: Notifications table created successfully!,  Location: /app/repositories/notification-repository.go:82 in notifications-service/repositories.(*NotificationRepo).CreateTable
Date: 2025-07-14, Time: 23:36:25, Event Source: notifications-service, Event Type: INFO, Event ID: f24d95d4-6457-4966-8166-7edee01aa89d, Message: Server is running on port ,  Location: /app/main.go:62 in main.main
Date: 2025-07-14, Time: 23:39:55, Event Source: notifications-service, Event Type: INFO, Event ID: e22fa3f9-0a6c-4802-b43e-4818d22ac32c, Message: Attempting to create a new notification.,  Location: /app/handlers/notification-handler.go:42 in notifications-service/handlers.(*NotificationHandler).CreateNotification
Date: 2025-07-14, Time: 23:39:55, Event Source: notifications-service, Event Type: INFO, Event ID: ef78e70e-53b6-41ed-aab6-4269d4535fde, Message: Service: Attempting to create notification for user luka (ID: 675b64eecf87832a8201bc96),  Location: /app/services/notification-service.go:24 in notifications-service/services.(*NotificationService).CreateNotification
Date: 2025-07-14, Time: 23:39:55, Event Source: notifications-service, Event Type: INFO, Event ID: 33ce636c-74c5-4a9c-9f4b-8ac1aae4313f, Message: Notification successfully created for user luka (ID: d85bb7da-610b-11f0-9cdc-0242ac130009)!,  Location: /app/repositories/notification-repository.go:101 in notifications-service/repositories.(*NotificationRepo).CreateNotification
Date: 2025-07-14, Time: 23:39:55, Event Source: notifications-service, Event Type: INFO, Event ID: 3d2bdda1-c44e-4e34-8674-c40c1261d8aa, Message: Service: Notification successfully prepared and sent to repository for user luka,  Location: /app/services/notification-service.go:42 in notifications-service/services.(*NotificationService).CreateNotification
Date: 2025-07-14, Time: 23:39:55, Event Source: notifications-service, Event Type: INFO, Event ID: 5d47b364-f944-4f05-8cfa-dd78bfc83c0d, Message: Notification successfully created for user luka (ID: 675b64eecf87832a8201bc96),  Location: /app/handlers/notification-handler.go:70 in notifications-service/handlers.(*NotificationHandler).CreateNotification
Date: 2025-07-14, Time: 23:39:56, Event Source: notifications-service, Event Type: INFO, Event ID: 10f3d15b-be5f-474b-b93d-a91f45d2c189, Message: Attempting to create a new notification.,  Location: /app/handlers/notification-handler.go:42 in notifications-service/handlers.(*NotificationHandler).CreateNotification
Date: 2025-07-14, Time: 23:39:56, Event Source: notifications-service, Event Type: INFO, Event ID: 5fa2bb0f-0c06-4869-b3a0-e1433fae0909, Message: Service: Attempting to create notification for user mika (ID: 675b646dcf87832a8201bc94),  Location: /app/services/notification-service.go:24 in notifications-service/services.(*NotificationService).CreateNotification
